,satisfaction
40802,neutral or dissatisfied
40803,satisfied
40804,satisfied
40805,neutral or dissatisfied
40806,satisfied
40807,neutral or dissatisfied
40808,satisfied
40809,satisfied
40810,satisfied
40811,neutral or dissatisfied
40812,neutral or dissatisfied
40813,neutral or dissatisfied
40814,neutral or dissatisfied
40815,neutral or dissatisfied
40816,satisfied
40817,satisfied
40818,neutral or dissatisfied
40819,satisfied
40820,neutral or dissatisfied
40821,neutral or dissatisfied
40822,satisfied
40823,neutral or dissatisfied
40824,satisfied
40825,neutral or dissatisfied
40826,neutral or dissatisfied
40827,satisfied
40828,neutral or dissatisfied
40829,satisfied
40830,neutral or dissatisfied
40831,satisfied
40832,satisfied
40833,satisfied
40834,neutral or dissatisfied
40835,neutral or dissatisfied
40836,neutral or dissatisfied
40837,neutral or dissatisfied
40838,satisfied
40839,neutral or dissatisfied
40840,neutral or dissatisfied
40841,neutral or dissatisfied
40842,neutral or dissatisfied
40843,neutral or dissatisfied
40844,satisfied
40845,neutral or dissatisfied
40846,satisfied
40847,satisfied
40848,satisfied
40849,satisfied
40850,neutral or dissatisfied
40851,satisfied
40852,satisfied
40853,satisfied
40854,satisfied
40855,satisfied
40856,neutral or dissatisfied
40857,neutral or dissatisfied
40858,satisfied
40859,neutral or dissatisfied
40860,satisfied
40861,satisfied
40862,neutral or dissatisfied
40863,neutral or dissatisfied
40864,satisfied
40865,neutral or dissatisfied
40866,neutral or dissatisfied
40867,satisfied
40868,satisfied
40869,neutral or dissatisfied
40870,satisfied
40871,neutral or dissatisfied
40872,neutral or dissatisfied
40873,neutral or dissatisfied
40874,satisfied
40875,neutral or dissatisfied
40876,neutral or dissatisfied
40877,satisfied
40878,neutral or dissatisfied
40879,satisfied
40880,satisfied
40881,neutral or dissatisfied
40882,satisfied
40883,neutral or dissatisfied
40884,satisfied
40885,neutral or dissatisfied
40886,satisfied
40887,satisfied
40888,satisfied
40889,neutral or dissatisfied
40890,neutral or dissatisfied
40891,satisfied
40892,satisfied
40893,neutral or dissatisfied
40894,neutral or dissatisfied
40895,satisfied
40896,neutral or dissatisfied
40897,satisfied
40898,neutral or dissatisfied
40899,neutral or dissatisfied
40900,neutral or dissatisfied
40901,neutral or dissatisfied
40902,satisfied
40903,neutral or dissatisfied
40904,satisfied
40905,satisfied
40906,satisfied
40907,neutral or dissatisfied
40908,neutral or dissatisfied
40909,neutral or dissatisfied
40910,neutral or dissatisfied
40911,neutral or dissatisfied
40912,neutral or dissatisfied
40913,satisfied
40914,neutral or dissatisfied
40915,satisfied
40916,neutral or dissatisfied
40917,neutral or dissatisfied
40918,satisfied
40919,satisfied
40920,satisfied
40921,neutral or dissatisfied
40922,neutral or dissatisfied
40923,neutral or dissatisfied
40924,satisfied
40925,neutral or dissatisfied
40926,neutral or dissatisfied
40927,neutral or dissatisfied
40928,neutral or dissatisfied
40929,satisfied
40930,neutral or dissatisfied
40931,satisfied
40932,satisfied
40933,satisfied
40934,neutral or dissatisfied
40935,satisfied
40936,neutral or dissatisfied
40937,satisfied
40938,neutral or dissatisfied
40939,neutral or dissatisfied
40940,neutral or dissatisfied
40941,neutral or dissatisfied
40942,neutral or dissatisfied
40943,satisfied
40944,neutral or dissatisfied
40945,satisfied
40946,satisfied
40947,neutral or dissatisfied
40948,neutral or dissatisfied
40949,neutral or dissatisfied
40950,neutral or dissatisfied
40951,satisfied
40952,neutral or dissatisfied
40953,neutral or dissatisfied
40954,neutral or dissatisfied
40955,neutral or dissatisfied
40956,satisfied
40957,neutral or dissatisfied
40958,neutral or dissatisfied
40959,satisfied
40960,neutral or dissatisfied
40961,neutral or dissatisfied
40962,satisfied
40963,neutral or dissatisfied
40964,satisfied
40965,neutral or dissatisfied
40966,neutral or dissatisfied
40967,neutral or dissatisfied
40968,satisfied
40969,neutral or dissatisfied
40970,neutral or dissatisfied
40971,neutral or dissatisfied
40972,neutral or dissatisfied
40973,neutral or dissatisfied
40974,satisfied
40975,neutral or dissatisfied
40976,neutral or dissatisfied
40977,neutral or dissatisfied
40978,neutral or dissatisfied
40979,neutral or dissatisfied
40980,satisfied
40981,satisfied
40982,neutral or dissatisfied
40983,neutral or dissatisfied
40984,neutral or dissatisfied
40985,satisfied
40986,neutral or dissatisfied
40987,satisfied
40988,neutral or dissatisfied
40989,satisfied
40990,satisfied
40991,neutral or dissatisfied
40992,neutral or dissatisfied
40993,satisfied
40994,neutral or dissatisfied
40995,neutral or dissatisfied
40996,neutral or dissatisfied
40997,satisfied
40998,neutral or dissatisfied
40999,neutral or dissatisfied
41000,neutral or dissatisfied
41001,neutral or dissatisfied
41002,neutral or dissatisfied
41003,neutral or dissatisfied
41004,neutral or dissatisfied
41005,neutral or dissatisfied
41006,satisfied
41007,satisfied
41008,neutral or dissatisfied
41009,satisfied
41010,satisfied
41011,neutral or dissatisfied
41012,satisfied
41013,neutral or dissatisfied
41014,satisfied
41015,neutral or dissatisfied
41016,neutral or dissatisfied
41017,satisfied
41018,satisfied
41019,neutral or dissatisfied
41020,neutral or dissatisfied
41021,satisfied
41022,satisfied
41023,satisfied
41024,satisfied
41025,satisfied
41026,neutral or dissatisfied
41027,neutral or dissatisfied
41028,satisfied
41029,neutral or dissatisfied
41030,neutral or dissatisfied
41031,neutral or dissatisfied
41032,neutral or dissatisfied
41033,satisfied
41034,satisfied
41035,neutral or dissatisfied
41036,neutral or dissatisfied
41037,satisfied
41038,satisfied
41039,neutral or dissatisfied
41040,neutral or dissatisfied
41041,satisfied
41042,satisfied
41043,satisfied
41044,neutral or dissatisfied
41045,neutral or dissatisfied
41046,satisfied
41047,satisfied
41048,satisfied
41049,satisfied
41050,satisfied
41051,neutral or dissatisfied
41052,satisfied
41053,neutral or dissatisfied
41054,satisfied
41055,neutral or dissatisfied
41056,satisfied
41057,satisfied
41058,neutral or dissatisfied
41059,neutral or dissatisfied
41060,satisfied
41061,neutral or dissatisfied
41062,neutral or dissatisfied
41063,neutral or dissatisfied
41064,neutral or dissatisfied
41065,satisfied
41066,neutral or dissatisfied
41067,neutral or dissatisfied
41068,neutral or dissatisfied
41069,neutral or dissatisfied
41070,neutral or dissatisfied
41071,neutral or dissatisfied
41072,neutral or dissatisfied
41073,satisfied
41074,neutral or dissatisfied
41075,neutral or dissatisfied
41076,neutral or dissatisfied
41077,satisfied
41078,neutral or dissatisfied
41079,neutral or dissatisfied
41080,satisfied
41081,neutral or dissatisfied
41082,satisfied
41083,satisfied
41084,neutral or dissatisfied
41085,satisfied
41086,satisfied
41087,satisfied
41088,satisfied
41089,neutral or dissatisfied
41090,neutral or dissatisfied
41091,neutral or dissatisfied
41092,neutral or dissatisfied
41093,satisfied
41094,satisfied
41095,neutral or dissatisfied
41096,satisfied
41097,neutral or dissatisfied
41098,neutral or dissatisfied
41099,neutral or dissatisfied
41100,neutral or dissatisfied
41101,satisfied
41102,satisfied
41103,neutral or dissatisfied
41104,neutral or dissatisfied
41105,neutral or dissatisfied
41106,neutral or dissatisfied
41107,neutral or dissatisfied
41108,satisfied
41109,satisfied
41110,neutral or dissatisfied
41111,neutral or dissatisfied
41112,neutral or dissatisfied
41113,neutral or dissatisfied
41114,neutral or dissatisfied
41115,satisfied
41116,satisfied
41117,satisfied
41118,neutral or dissatisfied
41119,neutral or dissatisfied
41120,satisfied
41121,neutral or dissatisfied
41122,neutral or dissatisfied
41123,neutral or dissatisfied
41124,satisfied
41125,neutral or dissatisfied
41126,satisfied
41127,satisfied
41128,satisfied
41129,satisfied
41130,satisfied
41131,neutral or dissatisfied
41132,neutral or dissatisfied
41133,neutral or dissatisfied
41134,neutral or dissatisfied
41135,neutral or dissatisfied
41136,neutral or dissatisfied
41137,satisfied
41138,neutral or dissatisfied
41139,satisfied
41140,satisfied
41141,satisfied
41142,satisfied
41143,satisfied
41144,neutral or dissatisfied
41145,neutral or dissatisfied
41146,satisfied
41147,neutral or dissatisfied
41148,neutral or dissatisfied
41149,satisfied
41150,neutral or dissatisfied
41151,neutral or dissatisfied
41152,neutral or dissatisfied
41153,neutral or dissatisfied
41154,satisfied
41155,satisfied
41156,neutral or dissatisfied
41157,neutral or dissatisfied
41158,satisfied
41159,satisfied
41160,satisfied
41161,neutral or dissatisfied
41162,neutral or dissatisfied
41163,neutral or dissatisfied
41164,neutral or dissatisfied
41165,satisfied
41166,satisfied
41167,satisfied
41168,neutral or dissatisfied
41169,satisfied
41170,satisfied
41171,satisfied
41172,satisfied
41173,satisfied
41174,satisfied
41175,satisfied
41176,satisfied
41177,neutral or dissatisfied
41178,satisfied
41179,neutral or dissatisfied
41180,satisfied
41181,satisfied
41182,satisfied
41183,neutral or dissatisfied
41184,neutral or dissatisfied
41185,satisfied
41186,satisfied
41187,neutral or dissatisfied
41188,neutral or dissatisfied
41189,neutral or dissatisfied
41190,satisfied
41191,satisfied
41192,satisfied
41193,satisfied
41194,satisfied
41195,neutral or dissatisfied
41196,neutral or dissatisfied
41197,neutral or dissatisfied
41198,satisfied
41199,satisfied
41200,neutral or dissatisfied
41201,neutral or dissatisfied
41202,neutral or dissatisfied
41203,neutral or dissatisfied
41204,satisfied
41205,satisfied
41206,neutral or dissatisfied
41207,neutral or dissatisfied
41208,neutral or dissatisfied
41209,neutral or dissatisfied
41210,satisfied
41211,neutral or dissatisfied
41212,satisfied
41213,neutral or dissatisfied
41214,neutral or dissatisfied
41215,satisfied
41216,neutral or dissatisfied
41217,neutral or dissatisfied
41218,satisfied
41219,neutral or dissatisfied
41220,satisfied
41221,neutral or dissatisfied
41222,neutral or dissatisfied
41223,neutral or dissatisfied
41224,neutral or dissatisfied
41225,neutral or dissatisfied
41226,neutral or dissatisfied
41227,satisfied
41228,satisfied
41229,satisfied
41230,satisfied
41231,satisfied
41232,neutral or dissatisfied
41233,neutral or dissatisfied
41234,neutral or dissatisfied
41235,neutral or dissatisfied
41236,satisfied
41237,satisfied
41238,satisfied
41239,satisfied
41240,neutral or dissatisfied
41241,neutral or dissatisfied
41242,satisfied
41243,neutral or dissatisfied
41244,satisfied
41245,satisfied
41246,neutral or dissatisfied
41247,satisfied
41248,neutral or dissatisfied
41249,satisfied
41250,satisfied
41251,neutral or dissatisfied
41252,satisfied
41253,neutral or dissatisfied
41254,neutral or dissatisfied
41255,satisfied
41256,neutral or dissatisfied
41257,neutral or dissatisfied
41258,satisfied
41259,neutral or dissatisfied
41260,neutral or dissatisfied
41261,neutral or dissatisfied
41262,satisfied
41263,satisfied
41264,neutral or dissatisfied
41265,satisfied
41266,neutral or dissatisfied
41267,satisfied
41268,neutral or dissatisfied
41269,neutral or dissatisfied
41270,neutral or dissatisfied
41271,satisfied
41272,neutral or dissatisfied
41273,neutral or dissatisfied
41274,neutral or dissatisfied
41275,satisfied
41276,neutral or dissatisfied
41277,satisfied
41278,satisfied
41279,satisfied
41280,satisfied
41281,satisfied
41282,neutral or dissatisfied
41283,neutral or dissatisfied
41284,neutral or dissatisfied
41285,satisfied
41286,neutral or dissatisfied
41287,neutral or dissatisfied
41288,satisfied
41289,neutral or dissatisfied
41290,neutral or dissatisfied
41291,satisfied
41292,satisfied
41293,satisfied
41294,neutral or dissatisfied
41295,neutral or dissatisfied
41296,neutral or dissatisfied
41297,neutral or dissatisfied
41298,satisfied
41299,neutral or dissatisfied
41300,satisfied
41301,neutral or dissatisfied
41302,neutral or dissatisfied
41303,neutral or dissatisfied
41304,neutral or dissatisfied
41305,satisfied
41306,neutral or dissatisfied
41307,neutral or dissatisfied
41308,satisfied
41309,satisfied
41310,satisfied
41311,satisfied
41312,neutral or dissatisfied
41313,satisfied
41314,satisfied
41315,neutral or dissatisfied
41316,neutral or dissatisfied
41317,neutral or dissatisfied
41318,neutral or dissatisfied
41319,satisfied
41320,neutral or dissatisfied
41321,satisfied
41322,satisfied
41323,neutral or dissatisfied
41324,satisfied
41325,neutral or dissatisfied
41326,neutral or dissatisfied
41327,satisfied
41328,neutral or dissatisfied
41329,satisfied
41330,neutral or dissatisfied
41331,neutral or dissatisfied
41332,neutral or dissatisfied
41333,satisfied
41334,satisfied
41335,neutral or dissatisfied
41336,neutral or dissatisfied
41337,satisfied
41338,satisfied
41339,satisfied
41340,neutral or dissatisfied
41341,neutral or dissatisfied
41342,neutral or dissatisfied
41343,satisfied
41344,satisfied
41345,neutral or dissatisfied
41346,satisfied
41347,satisfied
41348,satisfied
41349,satisfied
41350,satisfied
41351,satisfied
41352,satisfied
41353,satisfied
41354,neutral or dissatisfied
41355,neutral or dissatisfied
41356,neutral or dissatisfied
41357,neutral or dissatisfied
41358,neutral or dissatisfied
41359,neutral or dissatisfied
41360,satisfied
41361,neutral or dissatisfied
41362,neutral or dissatisfied
41363,neutral or dissatisfied
41364,neutral or dissatisfied
41365,satisfied
41366,neutral or dissatisfied
41367,neutral or dissatisfied
41368,satisfied
41369,satisfied
41370,neutral or dissatisfied
41371,neutral or dissatisfied
41372,satisfied
41373,neutral or dissatisfied
41374,satisfied
41375,neutral or dissatisfied
41376,satisfied
41377,neutral or dissatisfied
41378,neutral or dissatisfied
41379,satisfied
41380,satisfied
41381,satisfied
41382,neutral or dissatisfied
41383,satisfied
41384,neutral or dissatisfied
41385,neutral or dissatisfied
41386,neutral or dissatisfied
41387,neutral or dissatisfied
41388,satisfied
41389,neutral or dissatisfied
41390,neutral or dissatisfied
41391,satisfied
41392,satisfied
41393,neutral or dissatisfied
41394,neutral or dissatisfied
41395,satisfied
41396,neutral or dissatisfied
41397,neutral or dissatisfied
41398,satisfied
41399,neutral or dissatisfied
41400,neutral or dissatisfied
41401,satisfied
41402,satisfied
41403,neutral or dissatisfied
41404,satisfied
41405,satisfied
41406,neutral or dissatisfied
41407,neutral or dissatisfied
41408,satisfied
41409,satisfied
41410,neutral or dissatisfied
41411,satisfied
41412,neutral or dissatisfied
41413,neutral or dissatisfied
41414,neutral or dissatisfied
41415,neutral or dissatisfied
41416,neutral or dissatisfied
41417,neutral or dissatisfied
41418,neutral or dissatisfied
41419,satisfied
41420,neutral or dissatisfied
41421,neutral or dissatisfied
41422,neutral or dissatisfied
41423,neutral or dissatisfied
41424,neutral or dissatisfied
41425,neutral or dissatisfied
41426,neutral or dissatisfied
41427,satisfied
41428,neutral or dissatisfied
41429,neutral or dissatisfied
41430,satisfied
41431,neutral or dissatisfied
41432,satisfied
41433,satisfied
41434,satisfied
41435,neutral or dissatisfied
41436,satisfied
41437,satisfied
41438,neutral or dissatisfied
41439,satisfied
41440,satisfied
41441,neutral or dissatisfied
41442,neutral or dissatisfied
41443,neutral or dissatisfied
41444,satisfied
41445,neutral or dissatisfied
41446,satisfied
41447,neutral or dissatisfied
41448,neutral or dissatisfied
41449,neutral or dissatisfied
41450,neutral or dissatisfied
41451,satisfied
41452,neutral or dissatisfied
41453,neutral or dissatisfied
41454,satisfied
41455,satisfied
41456,neutral or dissatisfied
41457,neutral or dissatisfied
41458,neutral or dissatisfied
41459,satisfied
41460,neutral or dissatisfied
41461,satisfied
41462,neutral or dissatisfied
41463,neutral or dissatisfied
41464,satisfied
41465,satisfied
41466,satisfied
41467,satisfied
41468,satisfied
41469,neutral or dissatisfied
41470,satisfied
41471,satisfied
41472,neutral or dissatisfied
41473,satisfied
41474,neutral or dissatisfied
41475,neutral or dissatisfied
41476,satisfied
41477,satisfied
41478,neutral or dissatisfied
41479,satisfied
41480,satisfied
41481,satisfied
41482,satisfied
41483,neutral or dissatisfied
41484,neutral or dissatisfied
41485,neutral or dissatisfied
41486,satisfied
41487,neutral or dissatisfied
41488,neutral or dissatisfied
41489,neutral or dissatisfied
41490,neutral or dissatisfied
41491,satisfied
41492,neutral or dissatisfied
41493,satisfied
41494,neutral or dissatisfied
41495,satisfied
41496,satisfied
41497,satisfied
41498,satisfied
41499,satisfied
41500,neutral or dissatisfied
41501,neutral or dissatisfied
41502,neutral or dissatisfied
41503,neutral or dissatisfied
41504,satisfied
41505,satisfied
41506,satisfied
41507,neutral or dissatisfied
41508,neutral or dissatisfied
41509,satisfied
41510,satisfied
41511,neutral or dissatisfied
41512,neutral or dissatisfied
41513,satisfied
41514,neutral or dissatisfied
41515,satisfied
41516,neutral or dissatisfied
41517,satisfied
41518,satisfied
41519,neutral or dissatisfied
41520,neutral or dissatisfied
41521,neutral or dissatisfied
41522,neutral or dissatisfied
41523,neutral or dissatisfied
41524,neutral or dissatisfied
41525,neutral or dissatisfied
41526,neutral or dissatisfied
41527,neutral or dissatisfied
41528,neutral or dissatisfied
41529,satisfied
41530,neutral or dissatisfied
41531,neutral or dissatisfied
41532,satisfied
41533,satisfied
41534,satisfied
41535,neutral or dissatisfied
41536,neutral or dissatisfied
41537,satisfied
41538,neutral or dissatisfied
41539,satisfied
41540,neutral or dissatisfied
41541,neutral or dissatisfied
41542,satisfied
41543,neutral or dissatisfied
41544,neutral or dissatisfied
41545,neutral or dissatisfied
41546,satisfied
41547,neutral or dissatisfied
41548,neutral or dissatisfied
41549,satisfied
41550,satisfied
41551,satisfied
41552,neutral or dissatisfied
41553,neutral or dissatisfied
41554,neutral or dissatisfied
41555,neutral or dissatisfied
41556,satisfied
41557,satisfied
41558,neutral or dissatisfied
41559,satisfied
41560,neutral or dissatisfied
41561,neutral or dissatisfied
41562,neutral or dissatisfied
41563,satisfied
41564,neutral or dissatisfied
41565,satisfied
41566,neutral or dissatisfied
41567,neutral or dissatisfied
41568,neutral or dissatisfied
41569,neutral or dissatisfied
41570,satisfied
41571,neutral or dissatisfied
41572,satisfied
41573,satisfied
41574,neutral or dissatisfied
41575,neutral or dissatisfied
41576,satisfied
41577,satisfied
41578,neutral or dissatisfied
41579,neutral or dissatisfied
41580,satisfied
41581,neutral or dissatisfied
41582,satisfied
41583,satisfied
41584,neutral or dissatisfied
41585,satisfied
41586,satisfied
41587,satisfied
41588,satisfied
41589,neutral or dissatisfied
41590,neutral or dissatisfied
41591,neutral or dissatisfied
41592,satisfied
41593,neutral or dissatisfied
41594,neutral or dissatisfied
41595,satisfied
41596,satisfied
41597,satisfied
41598,satisfied
41599,satisfied
41600,neutral or dissatisfied
41601,neutral or dissatisfied
41602,neutral or dissatisfied
41603,satisfied
41604,satisfied
41605,neutral or dissatisfied
41606,satisfied
41607,satisfied
41608,satisfied
41609,neutral or dissatisfied
41610,satisfied
41611,neutral or dissatisfied
41612,neutral or dissatisfied
41613,neutral or dissatisfied
41614,neutral or dissatisfied
41615,neutral or dissatisfied
41616,satisfied
41617,neutral or dissatisfied
41618,satisfied
41619,neutral or dissatisfied
41620,satisfied
41621,satisfied
41622,satisfied
41623,neutral or dissatisfied
41624,satisfied
41625,neutral or dissatisfied
41626,satisfied
41627,neutral or dissatisfied
41628,neutral or dissatisfied
41629,satisfied
41630,satisfied
41631,neutral or dissatisfied
41632,satisfied
41633,neutral or dissatisfied
41634,neutral or dissatisfied
41635,satisfied
41636,satisfied
41637,satisfied
41638,satisfied
41639,satisfied
41640,satisfied
41641,neutral or dissatisfied
41642,satisfied
41643,neutral or dissatisfied
41644,neutral or dissatisfied
41645,neutral or dissatisfied
41646,neutral or dissatisfied
41647,satisfied
41648,satisfied
41649,satisfied
41650,satisfied
41651,neutral or dissatisfied
41652,satisfied
41653,neutral or dissatisfied
41654,satisfied
41655,neutral or dissatisfied
41656,satisfied
41657,neutral or dissatisfied
41658,satisfied
41659,neutral or dissatisfied
41660,neutral or dissatisfied
41661,satisfied
41662,satisfied
41663,neutral or dissatisfied
41664,satisfied
41665,satisfied
41666,neutral or dissatisfied
41667,neutral or dissatisfied
41668,neutral or dissatisfied
41669,satisfied
41670,satisfied
41671,neutral or dissatisfied
41672,satisfied
41673,satisfied
41674,satisfied
41675,satisfied
41676,neutral or dissatisfied
41677,neutral or dissatisfied
41678,neutral or dissatisfied
41679,neutral or dissatisfied
41680,neutral or dissatisfied
41681,neutral or dissatisfied
41682,neutral or dissatisfied
41683,neutral or dissatisfied
41684,neutral or dissatisfied
41685,neutral or dissatisfied
41686,neutral or dissatisfied
41687,satisfied
41688,neutral or dissatisfied
41689,satisfied
41690,satisfied
41691,satisfied
41692,neutral or dissatisfied
41693,neutral or dissatisfied
41694,neutral or dissatisfied
41695,satisfied
41696,satisfied
41697,neutral or dissatisfied
41698,neutral or dissatisfied
41699,neutral or dissatisfied
41700,neutral or dissatisfied
41701,neutral or dissatisfied
41702,satisfied
41703,satisfied
41704,satisfied
41705,neutral or dissatisfied
41706,neutral or dissatisfied
41707,satisfied
41708,neutral or dissatisfied
41709,satisfied
41710,neutral or dissatisfied
41711,satisfied
41712,neutral or dissatisfied
41713,neutral or dissatisfied
41714,neutral or dissatisfied
41715,satisfied
41716,neutral or dissatisfied
41717,satisfied
41718,neutral or dissatisfied
41719,neutral or dissatisfied
41720,neutral or dissatisfied
41721,neutral or dissatisfied
41722,satisfied
41723,neutral or dissatisfied
41724,satisfied
41725,satisfied
41726,neutral or dissatisfied
41727,neutral or dissatisfied
41728,satisfied
41729,satisfied
41730,satisfied
41731,neutral or dissatisfied
41732,neutral or dissatisfied
41733,satisfied
41734,neutral or dissatisfied
41735,neutral or dissatisfied
41736,neutral or dissatisfied
41737,satisfied
41738,satisfied
41739,satisfied
41740,satisfied
41741,satisfied
41742,satisfied
41743,neutral or dissatisfied
41744,neutral or dissatisfied
41745,satisfied
41746,neutral or dissatisfied
41747,neutral or dissatisfied
41748,satisfied
41749,neutral or dissatisfied
41750,neutral or dissatisfied
41751,satisfied
41752,satisfied
41753,satisfied
41754,satisfied
41755,neutral or dissatisfied
41756,neutral or dissatisfied
41757,neutral or dissatisfied
41758,neutral or dissatisfied
41759,neutral or dissatisfied
41760,neutral or dissatisfied
41761,satisfied
41762,neutral or dissatisfied
41763,satisfied
41764,satisfied
41765,satisfied
41766,neutral or dissatisfied
41767,satisfied
41768,neutral or dissatisfied
41769,neutral or dissatisfied
41770,satisfied
41771,satisfied
41772,satisfied
41773,neutral or dissatisfied
41774,satisfied
41775,satisfied
41776,neutral or dissatisfied
41777,satisfied
41778,neutral or dissatisfied
41779,neutral or dissatisfied
41780,satisfied
41781,neutral or dissatisfied
41782,neutral or dissatisfied
41783,neutral or dissatisfied
41784,neutral or dissatisfied
41785,neutral or dissatisfied
41786,satisfied
41787,satisfied
41788,satisfied
41789,neutral or dissatisfied
41790,satisfied
41791,satisfied
41792,satisfied
41793,satisfied
41794,satisfied
41795,neutral or dissatisfied
41796,neutral or dissatisfied
41797,satisfied
41798,satisfied
41799,satisfied
41800,satisfied
41801,neutral or dissatisfied
41802,satisfied
41803,neutral or dissatisfied
41804,neutral or dissatisfied
41805,satisfied
41806,satisfied
41807,satisfied
41808,neutral or dissatisfied
41809,satisfied
41810,satisfied
41811,satisfied
41812,satisfied
41813,neutral or dissatisfied
41814,satisfied
41815,neutral or dissatisfied
41816,neutral or dissatisfied
41817,neutral or dissatisfied
41818,neutral or dissatisfied
41819,neutral or dissatisfied
41820,neutral or dissatisfied
41821,neutral or dissatisfied
41822,satisfied
41823,neutral or dissatisfied
41824,satisfied
41825,neutral or dissatisfied
41826,satisfied
41827,neutral or dissatisfied
41828,satisfied
41829,neutral or dissatisfied
41830,satisfied
41831,neutral or dissatisfied
41832,satisfied
41833,neutral or dissatisfied
41834,satisfied
41835,satisfied
41836,satisfied
41837,neutral or dissatisfied
41838,satisfied
41839,neutral or dissatisfied
41840,satisfied
41841,neutral or dissatisfied
41842,neutral or dissatisfied
41843,neutral or dissatisfied
41844,neutral or dissatisfied
41845,satisfied
41846,satisfied
41847,neutral or dissatisfied
41848,neutral or dissatisfied
41849,neutral or dissatisfied
41850,satisfied
41851,neutral or dissatisfied
41852,satisfied
41853,neutral or dissatisfied
41854,neutral or dissatisfied
41855,neutral or dissatisfied
41856,satisfied
41857,neutral or dissatisfied
41858,neutral or dissatisfied
41859,neutral or dissatisfied
41860,satisfied
41861,satisfied
41862,neutral or dissatisfied
41863,satisfied
41864,neutral or dissatisfied
41865,satisfied
41866,neutral or dissatisfied
41867,satisfied
41868,neutral or dissatisfied
41869,neutral or dissatisfied
41870,neutral or dissatisfied
41871,neutral or dissatisfied
41872,satisfied
41873,satisfied
41874,neutral or dissatisfied
41875,satisfied
41876,satisfied
41877,satisfied
41878,neutral or dissatisfied
41879,neutral or dissatisfied
41880,neutral or dissatisfied
41881,neutral or dissatisfied
41882,neutral or dissatisfied
41883,neutral or dissatisfied
41884,satisfied
41885,neutral or dissatisfied
41886,neutral or dissatisfied
41887,satisfied
41888,neutral or dissatisfied
41889,neutral or dissatisfied
41890,neutral or dissatisfied
41891,neutral or dissatisfied
41892,neutral or dissatisfied
41893,neutral or dissatisfied
41894,satisfied
41895,neutral or dissatisfied
41896,neutral or dissatisfied
41897,satisfied
41898,satisfied
41899,neutral or dissatisfied
41900,satisfied
41901,satisfied
41902,neutral or dissatisfied
41903,neutral or dissatisfied
41904,neutral or dissatisfied
41905,neutral or dissatisfied
41906,satisfied
41907,neutral or dissatisfied
41908,neutral or dissatisfied
41909,neutral or dissatisfied
41910,neutral or dissatisfied
41911,neutral or dissatisfied
41912,satisfied
41913,neutral or dissatisfied
41914,neutral or dissatisfied
41915,neutral or dissatisfied
41916,satisfied
41917,satisfied
41918,neutral or dissatisfied
41919,neutral or dissatisfied
41920,neutral or dissatisfied
41921,satisfied
41922,neutral or dissatisfied
41923,satisfied
41924,neutral or dissatisfied
41925,satisfied
41926,satisfied
41927,neutral or dissatisfied
41928,neutral or dissatisfied
41929,satisfied
41930,satisfied
41931,neutral or dissatisfied
41932,neutral or dissatisfied
41933,satisfied
41934,neutral or dissatisfied
41935,neutral or dissatisfied
41936,satisfied
41937,satisfied
41938,neutral or dissatisfied
41939,neutral or dissatisfied
41940,neutral or dissatisfied
41941,neutral or dissatisfied
41942,neutral or dissatisfied
41943,satisfied
41944,neutral or dissatisfied
41945,satisfied
41946,neutral or dissatisfied
41947,neutral or dissatisfied
41948,neutral or dissatisfied
41949,satisfied
41950,satisfied
41951,satisfied
41952,satisfied
41953,neutral or dissatisfied
41954,neutral or dissatisfied
41955,satisfied
41956,neutral or dissatisfied
41957,satisfied
41958,satisfied
41959,satisfied
41960,neutral or dissatisfied
41961,satisfied
41962,neutral or dissatisfied
41963,neutral or dissatisfied
41964,neutral or dissatisfied
41965,satisfied
41966,neutral or dissatisfied
41967,neutral or dissatisfied
41968,satisfied
41969,neutral or dissatisfied
41970,neutral or dissatisfied
41971,neutral or dissatisfied
41972,neutral or dissatisfied
41973,satisfied
41974,satisfied
41975,satisfied
41976,satisfied
41977,neutral or dissatisfied
41978,neutral or dissatisfied
41979,satisfied
41980,satisfied
41981,satisfied
41982,neutral or dissatisfied
41983,satisfied
41984,satisfied
41985,neutral or dissatisfied
41986,neutral or dissatisfied
41987,satisfied
41988,neutral or dissatisfied
41989,satisfied
41990,neutral or dissatisfied
41991,neutral or dissatisfied
41992,satisfied
41993,neutral or dissatisfied
41994,neutral or dissatisfied
41995,satisfied
41996,neutral or dissatisfied
41997,neutral or dissatisfied
41998,neutral or dissatisfied
41999,satisfied
42000,neutral or dissatisfied
42001,neutral or dissatisfied
42002,neutral or dissatisfied
42003,neutral or dissatisfied
42004,neutral or dissatisfied
42005,satisfied
42006,satisfied
42007,satisfied
42008,satisfied
42009,neutral or dissatisfied
42010,satisfied
42011,neutral or dissatisfied
42012,neutral or dissatisfied
42013,satisfied
42014,neutral or dissatisfied
42015,neutral or dissatisfied
42016,neutral or dissatisfied
42017,neutral or dissatisfied
42018,satisfied
42019,neutral or dissatisfied
42020,neutral or dissatisfied
42021,satisfied
42022,neutral or dissatisfied
42023,neutral or dissatisfied
42024,neutral or dissatisfied
42025,satisfied
42026,satisfied
42027,satisfied
42028,neutral or dissatisfied
42029,satisfied
42030,neutral or dissatisfied
42031,satisfied
42032,satisfied
42033,neutral or dissatisfied
42034,neutral or dissatisfied
